BPAX,20100623,1.85,1.95,1.85,1.9,1.9,323175
BPFH,20100623,6.56,6.59,6.27,6.44,6.44,1173509
BPHX,20100623,1.4,1.42,1.35,1.35,1.35,26148
BPOP,20100623,2.96,2.98,2.83,2.89,2.89,23340910
BPOPN,20100623,17.6,17.6,17.6,17.6,17.6,0
BRCD,20100623,5.45,5.56,5.4,5.53,5.53,9650451
BRCM,20100623,35.91,36.32,35.19,35.91,35.91,8961160
BRID,20100623,16.05,16.28,15.71,16.28,16.28,28272
BRKL,20100623,9.54,9.62,9.22,9.31,9.31,641933
BRKR,20100623,13.03,13.14,12.8,13,13,662613
BRKS,20100623,8.06,8.25,7.95,8.14,8.14,401840
BRLI,20100623,22.79,23.15,22.73,23.01,23.01,353994
BRNC,20100623,4.01,4.01,3.76,3.8,3.8,258246
BSDM,20100623,1.37,1.44,1.37,1.43,1.43,21450
BSET,20100623,5.02,5.2,4.64,4.8,4.8,18398
BSFT,20100623,8.6,8.7,8.6,8.65,8.65,74458
BSMD,20100623,4.32,4.32,4.29,4.29,4.29,34621
BSPM,20100623,3,3.0499,2.91,2.95,2.95,35458
BSQR,20100623,2.17,2.58,2.16,2.53,2.53,28670
BSRR,20100623,11.91,12,11.71,11.96,11.96,9803
BSTC,20100623,22.57,22.57,21.53,21.63,21.63,11139
BTFG,20100623,4.11,4.11,3.865,4,4,21572
BTUI,20100623,5.54,5.67,5.39,5.6,5.6,4605
BUCY,20100623,50.12,51.9,49.16,51.56,51.56,3483859
BUSE,20100623,4.47,4.6,4.45,4.53,4.53,114630
BVSN,20100623,12.39,12.39,12.2,12.2,12.2,200
BWEN,20100623,2.41,2.44,2.3,2.34,2.34,990021
BWINB,20100623,23.1,23.52,22.63,23.29,23.29,7384
BWLD,20100623,37.49,38.32,37.29,38.16,38.16,252372
BWOWW,20100623,0.86,0.86,0.7601,0.85,0.85,2900
BYFC,20100623,1.9,1.9,1.9,1.9,1.9,400
CA,20100623,19.68,19.81,19.5,19.58,19.58,4272950
CAAS,20100623,19.56,20.19,18.9,19.97,19.97,321226
CABL,20100623,0.83,0.889,0.8,0.83,0.83,58678
CAC,20100623,29.14,29.43,28.66,28.8,28.8,7794
CACB,20100623,0.55,0.57,0.4651,0.54,0.54,110200
CACC,20100623,48.5,48.9,48.25,48.5,48.5,21750
CACH,20100623,5.73,5.92,5.61,5.75,5.75,87900
CADC,20100623,4.12,4.12,3.9981,4.03,4.03,45615
CADE,20100623,1.3417,1.39,1.323,1.38,1.38,3700
CADX,20100623,6.57,6.65,6.29,6.53,6.53,324988
CAEI,20100623,0.95,0.951,0.88,0.8886,0.8886,111704
CAFI,20100623,2.88,2.88,2.84,2.85,2.85,2690
CAGC,20100623,12.08,12.23,11.44,11.99,11.99,532765
CAKE,20100623,23.95,24.56,23.75,24.36,24.36,1650860
CALD,20100623,3.17,3.26,3.15,3.21,3.21,61404
CALI,20100623,3.37,3.4,3.31,3.3901,3.3901,38007
CALM,20100623,33.8,34.14,33.35,33.45,33.45,70292
CALP,20100623,4.14,4.17,4,4.12,4.12,173296
CAMP,20100623,2.28,2.3,2.23,2.23,2.23,71798
CAMT,20100623,2.43,2.43,2.32,2.4,2.4,25869
CAPS,20100623,0.69,0.72,0.69,0.7,0.7,16450
CARV,20100623,8.03,0,0,0,0,0
CASA,20100623,2.23,2.23,2.23,2.23,2.23,0
CASB,20100623,0.762,0.762,0.61,0.69,0.69,225145
CASH,20100623,30.8,30.8,30.206,30.206,30.206,480
CASM,20100623,1.67,1.85,1.67,1.85,1.85,44449
CASS,20100623,32.01,32.57,31.82,31.95,31.95,10227
CAST,20100623,6.09,6.18,5.93,6.11,6.11,290223
CASY,20100623,35.4,36,35.23,35.94,35.94,408118
CATM,20100623,12.21,12.28,11.87,12.03,12.03,178644
CATY,20100623,10.99,11.19,10.85,10.95,10.95,311333
CAVM,20100623,27.01,27.37,26.16,27.01,27.01,1077909
CAVO,20100623,3.68,3.8,3.68,3.78,3.78,4600
CBAK,20100623,1.85,1.885,1.8,1.81,1.81,300126
CBAN,20100623,7.05,7.05,6.93,6.93,6.93,524
CBEH,20100623,8.99,9.02,8.66,8.94,8.94,140751
CBEY,20100623,13.25,13.8,13.03,13.64,13.64,367899
CBIN,20100623,8.32,8.4,8.32,8.4,8.4,200
CBKN,20100623,3.15,3.3,3.09,3.3,3.3,9918
CBLI,20100623,3.6,3.6,3.45,3.46,3.46,23742
CBMX,20100623,2.44,2.59,2.41,2.41,2.41,5823
CBMXW,20100623,0.193,0.193,0.193,0.193,0.193,0
